region,Hemisphere,seg_index,face,plot_order
thalamus_VAip,R,5,lateral,1
thalamus_VAia,R,6,lateral,2
GP_post,R,27,lateral,3
GP_ant,R,28,lateral,4
thalamus_VPm,R,15,lateral,5
thalamus_DAm,R,18,lateral,6
thalamus_VAs,R,17,lateral,7
thalamus_VPl,R,16,lateral,8
thalamus_DAl,R,19,lateral,9
thalamus_DPm,R,14,lateral,10
thalamus_DPl,R,13,lateral,11
hippocampus_tail,R,25,lateral,12
hippocampus_body_med,R,9,lateral,13
hippocampus_body_lat,R,10,lateral,14
amygdala_SM,R,11,lateral,15
amygdala_CL,R,12,lateral,16
hippocampus_head_med_1,R,1,lateral,17
hippocampus_head_med_2,R,2,lateral,18
hippocampus_head_lat_1,R,3,lateral,19
hippocampus_head_lat_2,R,4,lateral,20
amygdala_lat,R,26,lateral,21
accumbens_core,R,30,lateral,22
caudate_DAi,R,7,lateral,23
caudate_DAs,R,8,lateral,24
caudate_VA,R,24,lateral,25
caudate_post,R,31,lateral,26
putamen_VA,R,20,lateral,27
putamen_DA,R,21,lateral,28
putamen_DP,R,23,lateral,29
putamen_VP,R,22,lateral,30
putamen_DA,R,21,medial,31
putamen_VP,R,22,medial,32
putamen_DP,R,23,medial,33
putamen_VA,R,20,medial,34
thalamus_VPl,R,16,medial,35
accumbens_core,R,30,medial,36
accumbens_shell,R,29,medial,37
caudate_DAi,R,7,medial,38
caudate_DAs,R,8,medial,39
caudate_VA,R,24,medial,40
caudate_post,R,31,medial,41
amygdala_lat,R,26,medial,42
hippocampus_head_lat_1,R,3,medial,43
hippocampus_head_lat_2,R,4,medial,44
hippocampus_body_lat,R,10,medial,45
hippocampus_body_med,R,9,medial,46
hippocampus_head_med_1,R,1,medial,47
hippocampus_head_med_2,R,2,medial,48
amygdala_CL,R,12,medial,49
amygdala_SM,R,11,medial,50
hippocampus_tail,R,25,medial,51
GP_post,R,27,medial,52
GP_ant,R,28,medial,53
thalamus_DAl,R,19,medial,54
thalamus_DPl,R,13,medial,55
thalamus_DPm,R,14,medial,56
thalamus_VPm,R,15,medial,57
thalamus_DAm,R,18,medial,58
thalamus_VAs,R,17,medial,59
thalamus_VAip,R,5,medial,60
thalamus_VAia,R,6,medial,61
hippocampus_head_lat_1,R,3,superior,62
hippocampus_head_lat_2,R,4,superior,63
hippocampus_head_med_1,R,1,superior,64
hippocampus_head_med_2,R,2,superior,65
hippocampus_body_lat,R,10,superior,66
hippocampus_body_med,R,9,superior,67
hippocampus_tail,R,25,superior,68
amygdala_lat,R,26,superior,69
amygdala_SM,R,11,superior,70
amygdala_CL,R,12,superior,71
GP_ant,R,28,superior,72
GP_post,R,27,superior,73
thalamus_DPl,R,13,superior,74
thalamus_DPm,R,14,superior,75
accumbens_core,R,30,superior,76
accumbens_shell,R,29,superior,77
thalamus_VAip,R,5,superior,78
thalamus_VAia,R,6,superior,79
putamen_VA,R,20,superior,80
putamen_DA,R,21,superior,81
putamen_VP,R,22,superior,82
putamen_DP,R,23,superior,83
thalamus_VPl,R,16,superior,84
thalamus_VPm,R,15,superior,85
thalamus_DAl,R,19,superior,86
thalamus_DAm,R,18,superior,87
thalamus_VAs,R,17,superior,88
caudate_VA,R,24,superior,89
putamen_DP,R,23,inferior,90
caudate_DAi,R,7,superior,91
caudate_DAs,R,8,superior,92
caudate_post,R,31,superior,93
caudate_post,R,31,inferior,94
caudate_DAi,R,7,inferior,95
caudate_DAs,R,8,inferior,96
putamen_VP,R,22,inferior,97
caudate_VA,R,24,inferior,98
putamen_DA,R,21,inferior,99
GP_ant,R,28,inferior,100
GP_post,R,27,inferior,101
accumbens_core,R,30,inferior,102
accumbens_shell,R,29,inferior,103
thalamus_DAm,R,18,inferior,104
thalamus_DAl,R,19,inferior,105
thalamus_VPm,R,15,inferior,106
thalamus_VPl,R,16,inferior,107
thalamus_VAs,R,17,inferior,108
thalamus_VAip,R,5,inferior,109
thalamus_VAia,R,6,inferior,110
amygdala_SM,R,11,inferior,111
amygdala_CL,R,12,inferior,112
amygdala_lat,R,26,inferior,113
thalamus_DPm,R,14,inferior,114
thalamus_DPl,R,13,inferior,115
hippocampus_tail,R,25,inferior,116
hippocampus_body_lat,R,10,inferior,117
hippocampus_body_med,R,9,inferior,118
hippocampus_head_lat_2,R,4,inferior,119
hippocampus_head_med_1,R,1,inferior,120
hippocampus_head_med_2,R,2,inferior,121
hippocampus_head_lat_1,R,3,inferior,122
putamen_VA,R,20,inferior,123
