region,Hemisphere,seg_index,face,plot_order
thalamus_VAip,L,36,lateral,1
thalamus_VAia,L,37,lateral,2
GP_post,L,58,lateral,3
GP_ant,L,59,lateral,4
thalamus_VPm,L,46,lateral,5
thalamus_DAm,L,49,lateral,6
thalamus_VAs,L,48,lateral,7
thalamus_VPl,L,47,lateral,8
thalamus_DAl,L,50,lateral,9
thalamus_DPm,L,45,lateral,10
thalamus_DPl,L,44,lateral,11
hippocampus_tail,L,56,lateral,12
hippocampus_body_med,L,40,lateral,13
hippocampus_body_lat,L,41,lateral,14
amygdala_SM,L,42,lateral,15
amygdala_CL,L,43,lateral,16
hippocampus_head_med_1,L,32,lateral,17
hippocampus_head_med_2,L,33,lateral,18
hippocampus_head_lat_1,L,34,lateral,19
hippocampus_head_lat_2,L,35,lateral,20
amygdala_lat,L,57,lateral,21
accumbens_core,L,61,lateral,22
caudate_DAi,L,38,lateral,23
caudate_DAs,L,39,lateral,24
caudate_VA,L,55,lateral,25
caudate_post,L,62,lateral,26
putamen_VA,L,51,lateral,27
putamen_DA,L,52,lateral,28
putamen_DP,L,54,lateral,29
putamen_VP,L,53,lateral,30
putamen_DA,L,52,medial,31
putamen_VP,L,53,medial,32
putamen_DP,L,54,medial,33
putamen_VA,L,51,medial,34
thalamus_VPl,L,47,medial,35
accumbens_core,L,61,medial,36
accumbens_shell,L,60,medial,37
caudate_DAi,L,38,medial,38
caudate_DAs,L,39,medial,39
caudate_VA,L,55,medial,40
caudate_post,L,62,medial,41
amygdala_lat,L,57,medial,42
hippocampus_head_lat_1,L,34,medial,43
hippocampus_head_lat_2,L,35,medial,44
hippocampus_body_lat,L,41,medial,45
hippocampus_body_med,L,40,medial,46
hippocampus_head_med_1,L,32,medial,47
hippocampus_head_med_2,L,33,medial,48
amygdala_CL,L,43,medial,49
amygdala_SM,L,42,medial,50
hippocampus_tail,L,56,medial,51
GP_post,L,58,medial,52
GP_ant,L,59,medial,53
thalamus_DAl,L,50,medial,54
thalamus_DPl,L,44,medial,55
thalamus_DPm,L,45,medial,56
thalamus_VPm,L,46,medial,57
thalamus_DAm,L,49,medial,58
thalamus_VAs,L,48,medial,59
thalamus_VAip,L,36,medial,60
thalamus_VAia,L,37,medial,61
hippocampus_head_lat_1,L,34,superior,62
hippocampus_head_lat_2,L,35,superior,63
hippocampus_head_med_1,L,32,superior,64
hippocampus_head_med_2,L,33,superior,65
hippocampus_body_lat,L,41,superior,66
hippocampus_body_med,L,40,superior,67
hippocampus_tail,L,56,superior,68
amygdala_lat,L,57,superior,69
amygdala_SM,L,42,superior,70
amygdala_CL,L,43,superior,71
GP_ant,L,59,superior,72
GP_post,L,58,superior,73
thalamus_DPl,L,44,superior,74
thalamus_DPm,L,45,superior,75
accumbens_core,L,61,superior,76
accumbens_shell,L,60,superior,77
thalamus_VAip,L,36,superior,78
thalamus_VAia,L,37,superior,79
putamen_VA,L,51,superior,80
putamen_DA,L,52,superior,81
putamen_VP,L,53,superior,82
putamen_DP,L,54,superior,83
thalamus_VPl,L,47,superior,84
thalamus_VPm,L,46,superior,85
thalamus_DAl,L,50,superior,86
thalamus_DAm,L,49,superior,87
thalamus_VAs,L,48,superior,88
caudate_VA,L,55,superior,89
putamen_DP,L,54,inferior,90
caudate_DAi,L,38,superior,91
caudate_DAs,L,39,superior,92
caudate_post,L,62,superior,93
caudate_post,L,62,inferior,94
caudate_DAi,L,38,inferior,95
caudate_DAs,L,39,inferior,96
putamen_VP,L,53,inferior,97
caudate_VA,L,55,inferior,98
putamen_DA,L,52,inferior,99
GP_ant,L,59,inferior,100
GP_post,L,58,inferior,101
accumbens_core,L,61,inferior,102
accumbens_shell,L,60,inferior,103
thalamus_DAm,L,49,inferior,104
thalamus_DAl,L,50,inferior,105
thalamus_VPm,L,46,inferior,106
thalamus_VPl,L,47,inferior,107
thalamus_VAs,L,48,inferior,108
thalamus_VAip,L,36,inferior,109
thalamus_VAia,L,37,inferior,110
amygdala_SM,L,42,inferior,111
amygdala_CL,L,43,inferior,112
amygdala_lat,L,57,inferior,113
thalamus_DPm,L,45,inferior,114
