region,Hemisphere,seg_index,face,plot_order
putamen,R,7,medial,1
pallidum,R,5,medial,2
accumbens,R,6,medial,3
caudate,R,8,medial,4
amygdala,R,2,medial,5
hippocampus,R,1,medial,6
thalamus_posterior,R,3,medial,7
thalamus_anterior,R,4,medial,8
accumbens,R,6,lateral,9
caudate,R,8,lateral,10
thalamus_anterior,R,4,lateral,11
thalamus_posterior,R,3,lateral,12
hippocampus,R,1,lateral,13
amygdala,R,2,lateral,14
putamen,R,7,lateral,15
hippocampus,R,1,superior,16
accumbens,R,6,superior,17
pallidum,R,5,superior,18
thalamus_posterior,R,3,superior,19
putamen,R,7,superior,20
thalamus_anterior,R,4,superior,21
caudate,R,8,superior,22
caudate,R,8,inferior,23
putamen,R,7,inferior,24
pallidum,R,5,inferior,25
accumbens,R,6,inferior,26
thalamus_anterior,R,4,inferior,27
amygdala,R,2,inferior,28
thalamus_posterior,R,3,inferior,29
hippocampus,R,1,inferior,30
